shop_name,phone_number,category,subcategory,sub_subcategory,city,location
Issa Shops,03-541863,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Jihad Mashloush,03-124031,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Khairo,81-301299,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Khalifeh Institution For Oils & Fuels,03-277154,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,South Governorate,Sidon District
Mahmoud Maryam For Painting Cars,03-573221,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Mohammad Baghdadi,03-396065,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Mohammad Mazboudi,03-528724,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Tareek El Jadideh
Mohammad Shaker Garage,03-093442,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Tareek El Jadideh
Mousalli Shops,03-572936,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Nabil Eid,70-129975,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Nashar Trading,03-457418,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Omar Dada Warehouse,70-598913,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Othman Brothers,70-452738,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Platinum Garage,70-923786,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,Beirut & Mount Lebanon,Wata Al Msaytbeh
Shadi Al Kaseir,03-486439,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
